criterium	chart	threshold	training	samples	counts
PSMs	second	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[45584, 22471, 40830, 44665, 75561, 14937, 23364, 67116]
PSMs	second	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[55330, 27588, 50308, 54012, 91441, 17145, 29922, 79772]
PSMs	second	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[55624, 27401, 49917, 55116, 93298, 17438, 30164, 79969]
peptides	all	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[23334, 21056, 26436, 25335, 29573, 17184, 21270, 39311]
peptides	all	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[23476, 20798, 25994, 25303, 29249, 17273, 21025, 38940]
peptides	all	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[30087, 26477, 32995, 30726, 35739, 21016, 27463, 47319]
peptides	all	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[30140, 26167, 32457, 30551, 35303, 21029, 27207, 46716]
peptides	all	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[36086, 30891, 38941, 35070, 42039, 23048, 31555, 52751]
peptides	all	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[36091, 30529, 38493, 35031, 42048, 23118, 31481, 52613]
peptides	first	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[17788, 14532, 19268, 23080, 26135, 12210, 17516, 28624]
peptides	first	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[18071, 14624, 19274, 22234, 25194, 12410, 17069, 28832]
peptides	first	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[21810, 17549, 23250, 26609, 30503, 14141, 20749, 33501]
peptides	first	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[21934, 17508, 22871, 26050, 29572, 14070, 20377, 33044]
peptides	first	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[24804, 19755, 26125, 28809, 34017, 14848, 22505, 35679]
peptides	first	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[24606, 19549, 25819, 28095, 32771, 14722, 22119, 35216]
peptides	second	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[14886, 12034, 16680, 11299, 16466, 8867, 9628, 26072]
peptides	second	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[14716, 11534, 15977, 12954, 17448, 8727, 9902, 25076]
peptides	second	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[20490, 16059, 21779, 17315, 22555, 11922, 15322, 33047]
peptides	second	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[20409, 15711, 21422, 17779, 23036, 12052, 15292, 32608]
peptides	second	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[25084, 19319, 26621, 21348, 27681, 13766, 19212, 38391]
peptides	second	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[25323, 19145, 26374, 22051, 28973, 13979, 19511, 38675]
peptidoforms	all	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[29031, 26671, 35855, 37073, 45627, 23393, 25528, 57006]
peptidoforms	all	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[29198, 26327, 35203, 37609, 45608, 23476, 25298, 56457]
peptidoforms	all	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[37649, 33326, 44537, 46881, 57107, 28382, 33450, 68316]
peptidoforms	all	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[37734, 32926, 43814, 46680, 56560, 28416, 33113, 67512]
peptidoforms	all	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[44754, 38566, 51926, 53466, 66578, 30918, 38594, 75591]
peptidoforms	all	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[44772, 38161, 51333, 53386, 66480, 30982, 38512, 75357]
peptidoforms	first	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[20792, 17484, 24552, 29254, 33285, 15695, 19798, 38648]
peptidoforms	first	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[21093, 17562, 24516, 28074, 31984, 15938, 19322, 38935]
peptidoforms	first	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[25225, 20810, 29143, 33608, 38750, 17899, 23323, 44363]
peptidoforms	first	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[25363, 20744, 28713, 32869, 37477, 17823, 22944, 43867]
peptidoforms	first	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[28448, 23189, 32311, 36275, 42965, 18695, 25203, 46919]
peptidoforms	first	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[28249, 22964, 31977, 35382, 41403, 18564, 24805, 46380]
peptidoforms	second	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[17547, 13925, 20658, 15236, 23863, 10012, 10539, 34068]
peptidoforms	second	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[17344, 13341, 19797, 17669, 25543, 9824, 10839, 32710]
peptidoforms	second	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[24514, 18565, 27105, 24247, 33820, 13583, 17046, 43438]
peptidoforms	second	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[24383, 18174, 26650, 24901, 34595, 13719, 16973, 42797]
peptidoforms	second	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[29909, 22310, 32970, 29894, 41397, 15699, 21492, 50358]
peptidoforms	second	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[30128, 22120, 32626, 30777, 42922, 15939, 21797, 50621]
scans	all	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[74236, 37403, 70693, 86794, 129449, 22731, 50199, 104886]
scans	all	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[74237, 37160, 70122, 86958, 128674, 22795, 49116, 104188]
scans	all	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[91915, 44278, 83784, 101257, 151377, 26188, 59219, 119126]
scans	all	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[91777, 43967, 82894, 100649, 149894, 26154, 58353, 117716]
scans	all	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[102343, 48840, 92457, 107693, 163422, 27615, 63706, 124979]
scans	all	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[102163, 48553, 91753, 107130, 162259, 27558, 62977, 124291]
scans	first	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[50272, 26271, 51201, 71499, 97737, 16944, 44998, 77448]
scans	first	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[50818, 26419, 51315, 68810, 94265, 17190, 43778, 77877]
scans	first	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[60894, 31183, 61095, 80958, 111987, 19395, 52101, 89900]
scans	first	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[61109, 31092, 60431, 79357, 108869, 19268, 51287, 88563]
scans	first	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[67431, 34523, 67455, 86206, 121147, 20331, 55736, 94922]
scans	first	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[67094, 34242, 66854, 84519, 117940, 20127, 54913, 93806]
scans	second	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[30502, 15709, 28707, 24868, 47394, 9750, 13169, 46930]
scans	second	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[30057, 15153, 27655, 28815, 50466, 9566, 13470, 45043]
scans	second	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[42455, 20677, 37486, 39866, 67598, 12886, 20887, 59116]
scans	second	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[42212, 20315, 37019, 40785, 68626, 13023, 20734, 58304]
scans	second	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[50508, 24470, 44764, 48233, 81006, 14713, 25953, 67588]
scans	second	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[50757, 24325, 44500, 49085, 82362, 14940, 26149, 67784]
